#;scans;Technique_of_Medical_Image;Plane;body_part;modality_label_rm;Secuence_label;calidad;modality_label_rx;modality_label_ct;modality_label_nm;modality_label_us;modality_label_light;modality_label_elec;modality_label_oph;Columna2;Contrast
232;AXIDIFUSIN_ADC;MRI;ax;;dwi;;;;;;;;;;;
232;AXIDIFUSIN;MRI;ax;;dwi;;;;;;;;;;;
228;SagT1FLAIR;MRI;sag;;T1w;flair;;;;;;;;;;
227;SAG3DT1CERVICAL;MRI;sag;;T1w;;3D;;;;;;;;;
227;CORFRFSET2;MRI;cor;;T2w;tse;;;;;;;;;;
225;AXIAL3DTOF;MRI;ax;;;;3D;;;;;;;;;
223;NAVEGADORBRAVOCIRUGIA;MRI;;;;;;;;;;;;;;GD
220;ToF3Dmultislab;MRI;;;;;3D;;;;;;;;;
219;ToF3Dmultislab_MIP_TRA;MRI;ax;;;;3D;;;;;;;;;
219;AXI3DVIBEXA8C;MRI;ax;;;;3D;;;;;;;;;
217;COR3DFSPGRT1NUEVO;MRI;cor;;T1w;;3D;;;;;;;;;
214;AXT144C;MRI;ax;;T1w;;;;;;;;;;;
212;Ax3DFSPGRFAME;MRI;ax;;;;3D;;;;;;;;;
210;NAVEGADORBRAVO;MRI;;;;;;;;;;;;;;GD
209;DIFFUSIONB1000;MRI;;;dwi;;;;;;;;;;;
205;CORFSET2HIPOCAMPOS;MRI;cor;;T2w;tse;;;;;;;;;;
205;AXIAL;MRI;ax;;;;;;;;;;;;;
204;T2W_FFE;MRI;;;T2w;tse;;;;;;;;;;
204;AxT2PROPELLER;MRI;ax;;T2w;tse;;;;;;;;;;
201;AXIAL3DISO;MRI;ax;;;;3D;;;;;;;;;
192;3PCERVICAL;MRI;3pl;;;;;;;;;;;;;
189;AXFSET23MM;MRI;ax;;T2w;tse;;;;;;;;;;
188;AX3DFSPGRFAME2MINUTOS;MRI;ax;;;;3D;;;;;;;;;
187;sDWSSh;MRI;;;;;;;;;;;;;;
186;SAGT1TSE;MRI;sag;;T1w;tse;;;;;;;;;;
184;SAGITALT1TSE;MRI;sag;;T1w;tse;;;;;;;;;;
182;CALIBASSETPURE;MRI;;;;;;;;;;;;;;
179;SagFLAIRCUBEcte;MRI;sag;;;flair;;;;;;;;;;
177;CORONALFLAIRT2_3mm;MRI;cor;;;flair;;;;;;;;;;
177;PCCOR_MSUM;MRI;cor;;;;;;;;;;;;;
176;EPIDIFUSIONTRAb01000_ADC;MRI;ax;;dwi;;;;;;;;;;;
176;SAG3DT2CUBE;MRI;sag;;T2w;tse;3D;;;;;;;;;
176;EPIDIFUSIONTRAb01000;MRI;ax;;dwi;;;;;;;;;;;
174;sagt1cervicalcte;MRI;sag;;T1w;;;;;;;;;;;
172;RegDWISENSE;MRI;;;dwi;;;;;;;;;;;
170;ARTERIALFL3D_SUB_MIP_COR;MRI;cor;;;flair;3D;;;;;;;;;
170;ARTERIALFL3D_SUB_MIP_SAG;MRI;sag;;;flair;3D;;;;;;;;;
167;AxDWITetra4NEX;MRI;ax;;dwi;;;;;;;;;;;
166;dADC;MRI;;;;;;;;;;;;;;
163;sB1000;MRI;;;;;;;;;;;;;;
155;AXT240CORTES;MRI;ax;;T2w;tse;;;;;;;;;;
154;SagT1FSE;MRI;sag;;T1w;;;;;;;;;;;
154;PCSAGITAL2_MSUM;MRI;sag;;;;;;;;;;;;;
150;SAGITAL;MRI;sag;;;;;;;;;;;;;
146;AXT1SE;MRI;ax;;T1w;;;;;;;;;;;
145;AXT13D;MRI;ax;;T1w;;3D;;;;;;;;;
145;CORT2AR;MRI;cor;;T2w;tse;;;;;;;;;;
143;AX2mmjcmm;MRI;ax;;;;;;;;;;;;;
142;AXT2frfse44C;MRI;ax;;T2w;tse;;;;;;;;;;
140;AXIAL3DBRAVONAVEGADORCTE;MRI;ax;;;;3D;;;;;;;;;GD
140;SAGT1;MRI;sag;;T1w;;;;;;;;;;;
140;SAGITALT2FLAIRGD;MRI;sag;;;flair;;;;;;;;;;
139;AXIALT1MT44CORTES;MRI;ax;;T1w;;;;;;;;;;;
135;AxT1SEPERFUSION;MRI;ax;;pwi;;;;;;;;;;;
132;3dTOF;MRI;;;;;3D;;;;;;;;;
131;COR3DT1jcmm;MRI;cor;;T1w;;3D;;;;;;;;;
130;SagFLAIRCUBE13;MRI;sag;;;flair;;;;;;;;;;
130;FLAIR_longTR;MRI;;;;flair;;;;;;;;;;
129;T1W_SE;MRI;;;T1w;;;;;;;;;;;
128;tsa;MRI;;;;;;;;;;;;;;
125;CGREPERFUSION;MRI;;;pwi;;;;;;;;;;;
122;SAGFSPGRBRAVO;MRI;sag;;;;;;;;;;;;;
121;ax3dt1;MRI;ax;;T1w;;3D;;;;;;;;;
121;SagCUBET2;MRI;sag;;T2w;tse;;;;;;;;;;
121;AXDP20CORTES;MRI;ax;;;;;;;;;;;;;
119;AX3DFSPGR2FAME;MRI;ax;;;;3D;;;;;;;;;
119;AxT1TSE;MRI;ax;;T1w;tse;;;;;;;;;;
119;AXT2FRFSE44C;MRI;ax;;T2w;tse;;;;;;;;;;
118;AXIAL3DTOFENHANCED;MRI;ax;;;;3D;;;;;;;;;
116;AxFRFSET2;MRI;ax;;T2w;tse;;;;;;;;;;
114;AxFSPGR3DC;MRI;ax;;;;3D;;;;;;;;;
113;ax3Dnavegador;MRI;ax;;;;3D;;;;;;;;;GD
113;CorT2SSFSEBH;MRI;cor;;T2w;tse;;;;;;;;;;
111;MPRRango2;MRI;;;;;;;;;;;;;;
105;SagFLAIRCUBE;MRI;sag;;;flair;;;;;;;;;;
105;SAGFSET2cervical;MRI;sag;;T2w;tse;;;;;;;;;;
104;Ob_Ax_SI_Average_sp10_th50;MRI;ax;;;;;;;;;;;;;
104;Ob_Cor_AP_Average_sp10_th50;MRI;cor;;;;;;;;;;;;;
104;Ob_Sag_RL_Average_sp12_th50;MRI;sag;;;;;;;;;;;;;
104;SAGITAL3DVENOSO_MIP_COR;MRI;sag;;;;3D;;;;;;;;;
104;SAGITAL3DVENOSO_MIP_SAG;MRI;sag;;;;3D;;;;;;;;;
103;AXT1FSPGR3DNAVEGADOR;MRI;ax;;T1w;;3D;;;;;;;;;GD
101;AXIDIFFUSIONB1000;MRI;ax;;dwi;;;;;;;;;;;
100;T1W_IR;MRI;;;T1w;;;;;;;;;;;
100;AXIALDP;MRI;ax;;;;;;;;;;;;;
100;NEURONAVSENSE;MRI;;;;;;;;;;;;;;
99;ARTERIALFL3D_TT10s_SUB;MRI;;;T1w;flair;3D;;;;;;;;;
98;ApparentDiffusionCoefficientmms;MRI;;;dwi;;;;;;;;;;;
98;AXIALT2FLAIR3mm35CORTES;MRI;ax;;;flair;;;;;;;;;;
98;TRATSET2SENSE;MRI;ax;;T2w;tse;;;;;;;;;;
98;AXIALGADO;MRI;ax;;;;;;;;;;;;;GD
97;TRA_FLAIR;MRI;ax;;;flair;;;;;;;;;;
97;carotidasmascara;MRI;;;;;;;;;;;;;;
96;2D_BOLUSTRAK;MRI;ax;;;;;;;;;;;;;
96;carotidas;MRI;;;;;;;;;;;;;;
96;CORONALGD;MRI;cor;;;;;;;;;;;;;
91;SAGITALSTIR;MRI;sag;;;stir;;;;;;;;;;
90;AxT1TSEC;MRI;ax;;T1w;tse;;;;;;;;;;
90;Ax2DMERGE;MRI;ax;;;;;;;;;;;;;
89;AXIALT1SEMTcte;MRI;ax;;T1w;;;;;;;;;;;
88;AXIALT240CORTES;MRI;ax;;T2w;tse;;;;;;;;;;
88;SmartBrain;MRI;;;;;;;;;;;;;;
87;T1SETRA;MRI;ax;;T1w;;;;;;;;;;;
87;AXIALT1PERFUSION;MRI;ax;;pwi;;;;;;;;;;;
86;SagCUBEFLAIRT2cte;MRI;sag;;;flair;;;;;;;;;;
84;AXIALT2FRFSEXL;MRI;ax;;T2w;tse;;;;;;;;;;
84;CORFLAIRONCOLOGICOS;MRI;cor;;;flair;;;;;;;;;;
84;SagT1mempGD;MRI;sag;;T1w;;;;;;;;;;;
83;SAGFSPGRBRAVOC;MRI;sag;;;;;;;;;;;;;
83;SagT1;MRI;sag;;T1w;;;;;;;;;;;
83;Ax3DFSPGR;MRI;ax;;;;3D;;;;;;;;;
82;ARTERIAL_FL3D_TT_1_0s_SUB;MRI;;;;flair;3D;;;;;;;;;
82;AXIAL3DT1IR;MRI;ax;;T1w;;3D;;;;;;;;;
80;axT2cervical;MRI;ax;;T2w;tse;;;;;;;;;;
79;FractionalAnsio;MRI;;;;;;;;;;;;;;
79;AXT2FLAIR;MRI;ax;;;flair;;;;;;;;;;
78;SAGFSET1;MRI;sag;;T1w;;;;;;;;;;;
78;ARTERIALFL3D_TT10s;MRI;;;T1w;flair;3D;;;;;;;;;
78;T2weightedtrace;MRI;ax;;T2w;tse;;;;;;;;;;
77;SAGT2;MRI;sag;;T2w;tse;;;;;;;;;;
77;EPI_DIFUSION_TRA__b0_1000_;MRI;ax;;dwi;;;;;;;;;;;
77;AXIAL_3D_TOF__ENHANCED_;MRI;ax;;;;3D;;;;;;;;;
77;SAGITALT2CERV;MRI;sag;;T2w;tse;;;;;;;;;;
77;EPI_DIFUSION_TRA__b0_1000__ADC;MRI;ax;;dwi;;;;;;;;;;;
76;AXT2FLAIR3MM;MRI;ax;;;flair;;;;;;;;;;
76;CORT1BRAVO;MRI;cor;;T1w;;;;;;;;;;;
76;AXT2FRFSE2NEX;MRI;ax;;T2w;tse;;;;;;;;;;
76;SAGFSET2;MRI;sag;;T2w;tse;;;;;;;;;;
76;AXDPT2;MRI;ax;;T2w;tse;;;;;;;;;;
76;CORT1;MRI;cor;;T1w;;;;;;;;;;;
76;MASCARAFL3D_TT10s;MRI;;;T1w;flair;3D;;;;;;;;;
75;PERFUSION;MRI;;;pwi;;;;;;;;;;;
75;CORTSET2SENSE;MRI;cor;;T2w;tse;;;;;;;;;;
75;FLAIR;MRI;;;;flair;;;;;;;;;;
75;AXIALT1FSE;MRI;ax;;T1w;;;;;;;;;;;
74;SAGFLAIR;MRI;sag;;;flair;;;;;;;;;;
74;fl3d_ce_cor;MRI;cor;;;flair;3D;;;;;;;;;
74;SAGTSET1SENSE;MRI;sag;;T1w;tse;;;;;;;;;;
74;Care_Bolus_coreldetodalavida;MRI;cor;;;;;;;;;;;;;
74;T2FFEFAST;MRI;;;T2w;tse;;;;;;;;;;
74;SAGITALSTIRCERV;MRI;sag;;;stir;;;;;;;;;;
73;AXIALFSPGR3D;MRI;ax;;;;3D;;;;;;;;;
73;ARTERIAL_FL3D_TT_1_0s;MRI;;;;flair;3D;;;;;;;;;
72;Care_Bolus_cor__el_de_toda_la_vida_;MRI;cor;;;;;;;;;;;;;
72;CORONALT2HREPILEPSIA;MRI;cor;;T2w;tse;;;;;;;;;;
71;MASCARA_FL3D_TT_1_0s;MRI;;;;flair;3D;;;;;;;;;
71;AXIALFLAIRT2_3mm;MRI;ax;;;flair;;;;;;;;;;
71;SAGITALGD;MRI;sag;;;;;;;;;;;;;
71;CORT2;MRI;cor;;T2w;tse;;;;;;;;;;
70;MIP;MRI;;;;;;;;;;;;;;
69;care_bolus;MRI;;;;;;;;;;;;;;
69;AXIT240CORTES;MRI;ax;;T2w;tse;;;;;;;;;;
69;2DPCCORONAL;MRI;cor;;;;;;;;;;;;;
68;T13DCOR;MRI;cor;;T1w;;3D;;;;;;;;;
67;AXIFLAIR;MRI;ax;;;flair;;;;;;;;;;
67;SAGT1SE;MRI;sag;;T1w;;;;;;;;;;;
67;PCCORONAL_MAG;MRI;cor;;;;;;;;;;;;;
67;AXIDP20CORTES;MRI;ax;;;;;;;;;;;;;
67;AXT2FSE;MRI;ax;;T2w;tse;;;;;;;;;;
67;SAGITALT1CERV;MRI;sag;;T1w;;;;;;;;;;;
67;CAROTIDAS;MRI;;;;;;;;;;;;;;
66;Ax3DFSPGRT1GD;MRI;ax;;T1w;;3D;;;;;;;;;
66;SAGT2dorsal;MRI;sag;;T2w;tse;;;;;;;;;;
66;CorT2FSEThin;MRI;cor;;T2w;tse;;;;;;;;;;
65;AXTENSOR32;MRI;ax;;;;;;;;;;;;;
65;AXIALDWI3;MRI;ax;;dwi;;;;;;;;;;;
65;AXIALT2MERGE;MRI;ax;;T2w;tse;;;;;;;;;;
65;VsT1W_3D_FFEPROSETSENSE;MRI;;;T1w;tse;3D;;;;;;;;;
65;SAGT1CERVICAL;MRI;sag;;T1w;;;;;;;;;;;
64;CORFLAIRT2_3mm;MRI;cor;;;flair;;;;;;;;;;
64;SagT1CERVICAL;MRI;sag;;T1w;;;;;;;;;;;
63;2DPCSAGITAL;MRI;sag;;;;;;;;;;;;;
63;AXFAME;MRI;ax;;;;;;;;;;;;;
63;AX;MRI;ax;;;;;;;;;;;;;
63;AverageDC32;MRI;;;;;;;;;;;;;;
63;Imgenesprocesadas;MRI;;;;;;;;;;;;;;
63;SAGT2CERVICAL;MRI;sag;;T2w;tse;;;;;;;;;;
62;SagCUBEFLAIRT2;MRI;sag;;;flair;;;;;;;;;;
62;Loccervical;MRI;;;;;;;;;;;;;;
62;SAGITAL3DVENOSO_TT10s;MRI;sag;;T1w;;3D;;;;;;;;;
62;PCSAGITAL_MAG;MRI;sag;;;;;;;;;;;;;
61;AXT2GRE;MRI;ax;;T2w;gre;;;;;;;;;;
61;CORSTIR;MRI;cor;;;stir;;;;;;;;;;
60;FUNCIONAL;MRI;;;;;;;;;;;;;;
59;FIESTAC;MRI;;;;;;;;;;;;;;
59;AX3DT1SPGRS;MRI;ax;;T1w;;3D;;;;;;;;;
59;CONTRASTE;MRI;ax;;;;;;;;;;;;;
59;SagSTIRCERVICAL;MRI;sag;;;stir;;;;;;;;;;
59;AXT2;MRI;ax;;T2w;tse;;;;;;;;;;
58;SagT1gd;MRI;sag;;T1w;;;;;;;;;;;
58;Ax2DMFGRER2StarMap;MRI;ax;;;;;;;;;;;;;
58;SagT2CUBE;MRI;sag;;T2w;tse;;;;;;;;;;
58;SagT1DORSAL;MRI;sag;;T1w;;;;;;;;;;;
57;NEURONAVEGADOR;MRI;;;;;;;;;;;;;;GD
57;TOF3DPOLIGONO1BLOQUE_MIP_SAG;MRI;sag;;;;3D;;;;;;;;;
57;FSPGRBRAVONAVEGADOR;MRI;;;;;;;;;;;;;;GD
57;AxT2cervicalcte;MRI;ax;;T2w;tse;;;;;;;;;;
57;TOF3DPOLIGONO1BLOQUE_MIP_TRA;MRI;ax;;;;3D;;;;;;;;;
57;AXIGRE;MRI;ax;;;;;;;;;;;;;
57;COROT1SE;MRI;cor;;T1w;;;;;;;;;;;
57;TOF3DPOLIGONO1BLOQUE_MIP_COR;MRI;cor;;;;3D;;;;;;;;;
57;CORGD;MRI;cor;;;;;;;;;;;;;
57;TOF3DPOLIGONO1BLOQUE;MRI;;;;;3D;;;;;;;;;
56;FLAIRTRA;MRI;ax;;;flair;;;;;;;;;;
55;SAG;MRI;sag;;;;;;;;;;;;;
54;AXIALT13d;MRI;ax;;T1w;;3D;;;;;;;;;
54;SagT1SE;MRI;sag;;T1w;;;;;;;;;;;
53;AXIAL3DT1;MRI;ax;;T1w;;3D;;;;;;;;;
53;MPRgruesaRango1;MRI;;;;;;;;;;;;;;
53;MPRgruesaRango;MRI;;;;;;;;;;;;;;
52;T1SETRACLEAR;MRI;ax;;T1w;;;;;;;;;;;
52;willis;MRI;;;;;;;;;;;;;;
51;LOCALINYECTARGD3DALOS10MIN;MRI;;;;;3D;;;;;;;;;
51;RegDWI_ogSENSE;MRI;;;dwi;;;;;;;;;;;
51;dRegDWI_ogSENSE;MRI;;;dwi;;;;;;;;;;;
50;VENOSO;MRI;;;;;;;;;;;;;;
50;LOC3PCEREBRAL;MRI;3pl;;;;;;;;;;;;;
50;SAGITALT2IPATDORS;MRI;sag;;T2w;tse;;;;;;;;;;
49;Ax3DFSPGRT1;MRI;ax;;T1w;;3D;;;;;;;;;
49;PERFUSIONCEREBRAL;MRI;;;pwi;;;;;;;;;;;
48;CORFLAIRT2;MRI;cor;;;flair;;;;;;;;;;
48;AxT1Flair;MRI;ax;;T1w;flair;;;;;;;;;;
48;cor3dt1;MRI;cor;;T1w;;3D;;;;;;;;;
48;3plT2FGRES;MRI;3pl;;T2w;gre;;;;;;;;;;
48;SAGITALSTIRDORS;MRI;sag;;;stir;;;;;;;;;;
48;SagCUBEFLAIRFSOK;MRI;sag;;;flair;;;;;;;;;;
47;CORONAL_T1_SE__C;MRI;cor;;T1w;;;;;;;;;;;
47;LOCCOR2DPC;MRI;cor;;;;;;;;;;;;;
46;AXIALT2FLAIR;MRI;ax;;;flair;;;;;;;;;;
46;DWI_og;MRI;;;dwi;;;;;;;;;;;
46;coronalT2FLAIRtodalacabeza;MRI;cor;;;flair;;;;;;;;;;
46;SAGFRFSET2;MRI;sag;;T2w;tse;;;;;;;;;;
45;SagT1FSCERVICAL;MRI;sag;;T1w;;;;;;;;;;;
45;SAGITAL_3D_VENOSO_TT_1_0s;MRI;sag;;;;3D;;;;;;;;;
45;SAGT1dorsalcte;MRI;sag;;T1w;;;;;;;;;;;
44;SAGGD;MRI;sag;;;;;;;;;;;;;
44;AXIALGRMERGE;MRI;ax;;;;;;;;;;;;;
44;OAxT2frFSE;MRI;ax;;T2w;tse;;;;;;;;;;
44;LOCCEREBRAL;MRI;;;;;;;;;;;;;;
44;COR2DPC;MRI;cor;;;;;;;;;;;;;
44;T1SAG;MRI;sag;;T1w;;;;;;;;;;;
44;PILOT3P;MRI;3pl;;;;;;;;;;;;;
44;T2FFETRA;MRI;ax;;T2w;tse;;;;;;;;;;
43;SAGSTIRCERVICAL;MRI;sag;;;stir;;;;;;;;;;
43;T1W_SE_sag;MRI;sag;;T1w;;;;;;;;;;;
43;AXIALGD;MRI;ax;;;;;;;;;;;;;
43;MultiPlanarReconstructionMPROb_Cor_AP_Average_sp50_th;MRI;cor;;;;;;;;;;;;;
43;SAGITALT1TSEDORS;MRI;sag;;T1w;tse;;;;;;;;;;
43;AXFSET230;MRI;ax;;T2w;tse;;;;;;;;;;
43;sagstir;MRI;sag;;;stir;;;;;;;;;;
42;coronal;MRI;cor;;;;;;;;;;;;;
42;T1SEAXIAL;MRI;ax;;T1w;;;;;;;;;;;
42;MultiPlanarReconstructionMPROb_Sag_RL_Average_sp50_th;MRI;sag;;;;;;;;;;;;;
42;CorT1SE;MRI;cor;;T1w;;;;;;;;;;;
42;SagT2CERVICAL;MRI;sag;;T2w;tse;;;;;;;;;;
42;SAGT1FLAIR;MRI;sag;;T1w;flair;;;;;;;;;;
41;3PCEREBRAL;MRI;3pl;;;;;;;;;;;;;
41;SAGITALGADO;MRI;sag;;;;;;;;;;;;;GD
41;MIPRango;MRI;;;;;;;;;;;;;;
41;AXT1CEREBRALcte;MRI;ax;;T1w;;;;;;;;;;;
41;AX3DT110MIN;MRI;ax;;T1w;;3D;;;;;;;;;
41;AXT1MT44C;MRI;ax;;T1w;;;;;;;;;;;
41;CORONALGADO;MRI;cor;;;;;;;;;;;;;GD
41;AXIAL3DFIESTA;MRI;ax;;;;3D;;;;;;;;;
40;LOCALIZER;MRI;;;;;;;;;;;;;;
40;SAG2DPC;MRI;sag;;;;;;;;;;;;;
40;MultiPlanarReconstructionMPROb_Ax_IS_Average_sp50_th;MRI;ax;;;;;;;;;;;;;
40;RegDWIHRSENSE;MRI;;;dwi;;;;;;;;;;;
40;dRegDWIHRSENSE;MRI;;;dwi;;;;;;;;;;;
40;isoRegDWIHRSENSE;MRI;;;dwi;;;;;;;;;;;
39;CorT2FSE3mmHiRes;MRI;cor;;T2w;tse;;;;;;;;;;
39;CORFSPGR3D;MRI;cor;;;;3D;;;;;;;;;
39;sagital;MRI;sag;;;;;;;;;;;;;
39;LOC;MRI;;;;;;;;;;;;;;
39;SAGT2cervicalcte;MRI;sag;;T2w;tse;;;;;;;;;;
38;T13DTRA;MRI;ax;;T1w;;3D;;;;;;;;;
38;cor;MRI;cor;;;;;;;;;;;;;
38;3DTOFMTFS;MRI;;;;;3D;;;;;;;;;
38;ProjectionImages;MRI;;;;;;;;;;;;;;
38;AxDWI;MRI;ax;;dwi;;;;;;;;;;;
38;CORONALT1SEC;MRI;cor;;T1w;;;;;;;;;;;
37;T1W_TSE;MRI;;;T1w;tse;;;;;;;;;;
37;T2TSECORCLEAR;MRI;cor;;T2w;tse;;;;;;;;;;
37;fl3d_ce_cor_SUB_MIP_COR;MRI;cor;;;flair;3D;;;;;;;;;
37;axialt1;MRI;ax;;T1w;;;;;;;;;;;
37;fl3d_ce_cor_SUB_MIP_SAG;MRI;cor;;;flair;3D;;;;;;;;;
